iter	Logloss
0	0.647812385
1	0.6104912908
2	0.5769888338
3	0.5487038059
4	0.5244464372
5	0.5037080169
6	0.4825297733
7	0.4652618677
8	0.4498146083
9	0.4350590738
10	0.4230264535
11	0.4117519978
12	0.4017797613
13	0.3928966465
14	0.3851557762
15	0.3793708111
16	0.3742177101
17	0.3685836436
18	0.364232832
19	0.3612137539
20	0.3569138156
21	0.353386499
22	0.3495923451
23	0.3465329571
24	0.3437020202
25	0.3412358568
26	0.3387652689
27	0.3372335359
28	0.3350309997
29	0.3326378005
30	0.3312050893
31	0.3290058681
32	0.3277005155
33	0.3264042135
34	0.3250336652
35	0.3239240237
36	0.3228208506
37	0.3215922192
38	0.3206993061
39	0.3198514747
40	0.3187279978
41	0.3179125634
42	0.3170683158
43	0.3161196243
44	0.3150444211
45	0.3141154888
46	0.3130047263
47	0.3124742856
48	0.3118908779
49	0.3112535323
50	0.3103707909
51	0.3096066569
52	0.3087243299
53	0.3081678221
54	0.3076951829
55	0.3069090521
56	0.3064024433
57	0.3059352559
58	0.3055375928
59	0.3051325015
60	0.3046857719
61	0.3039309473
62	0.3035430061
63	0.3031070958
64	0.3027142181
65	0.3024016155
66	0.3020379019
67	0.3015818478
68	0.3012403321
69	0.3009039694
70	0.3004478825
71	0.3001714068
72	0.2999433494
73	0.2995005079
74	0.2991273862
75	0.2988263112
76	0.2985583084
77	0.2982071698
78	0.2978885298
79	0.2976142714
80	0.2974492722
81	0.2971424589
82	0.2968464168
83	0.2962781344
84	0.2959031437
85	0.2957468581
86	0.2955981863
87	0.2954208964
88	0.295209169
89	0.2949722384
90	0.2948428911
91	0.2943871384
92	0.2941470138
93	0.293676754
94	0.2933701843
95	0.2931610583
96	0.2927324278
97	0.2924606285
98	0.2922266107
99	0.2921146556
100	0.2916883581
101	0.291540877
102	0.2913866027
103	0.2912073131
104	0.2910767497
105	0.2907249408
106	0.2905287543
107	0.290456639
108	0.2902751395
109	0.2901889389
110	0.2900809522
111	0.2899395659
112	0.2897507087
113	0.289622036
114	0.2894794669
115	0.2889190919
116	0.2888067169
117	0.2885047543
118	0.2883230597
119	0.2882128476
120	0.2880754051
121	0.2879251326
122	0.2877720303
123	0.2874244696
124	0.2872466227
125	0.2871116059
126	0.2869781573
127	0.2867983524
128	0.2865876756
129	0.2864515438
130	0.2863544295
131	0.2862193064
132	0.2861165997
133	0.2860014411
134	0.2858321304
135	0.2855739181
136	0.2853959733
137	0.2850603649
138	0.2849744045
139	0.284884605
140	0.2847916578
141	0.2846836702
142	0.2845577556
143	0.284502894
144	0.2843890181
145	0.2842984565
146	0.2842513027
147	0.2841317837
148	0.2837838293
149	0.2837284215
150	0.2837004388
151	0.2833700236
152	0.2831494301
153	0.2830021715
154	0.2829608556
155	0.2828127835
156	0.2827266589
157	0.2826448807
158	0.2826165825
159	0.2825017815
160	0.2824994781
161	0.2824228337
162	0.2821500122
163	0.2819451219
164	0.281832918
165	0.2816677371
166	0.2814998714
167	0.2814091826
168	0.2812429919
169	0.2810899576
170	0.2810070442
171	0.2809668653
172	0.2807406423
173	0.2806672919
174	0.2805795279
175	0.2805167229
176	0.2804547959
177	0.2803798132
178	0.280280463
179	0.2801936405
180	0.2801562474
181	0.2800458074
182	0.279909845
183	0.2798587824
184	0.2797927172
185	0.2797195181
186	0.2796772454
187	0.2795796179
188	0.2794415583
189	0.2793913925
190	0.2792941572
191	0.2792398776
192	0.2791300988
193	0.2789184405
194	0.2788344131
195	0.278796205
196	0.2787413176
197	0.2787218075
198	0.2786396446
199	0.2785932301
200	0.2785804532
201	0.2785170673
202	0.2784928641
203	0.2784409872
204	0.2783876912
205	0.2783152923
206	0.278192349
207	0.2778029104
208	0.2777680832
209	0.2776769127
210	0.2775820796
211	0.2775379531
212	0.2773090728
213	0.2772302328
214	0.2771932032
215	0.2770835538
216	0.2770111369
217	0.2768307888
218	0.2767343243
219	0.2766622668
220	0.2766178278
221	0.2765636458
222	0.2765062727
223	0.2764435557
224	0.2764206018
225	0.2764114102
226	0.276347992
227	0.2763051123
228	0.2762172134
229	0.2760614237
230	0.2760537951
231	0.2760024312
232	0.2759112153
233	0.2758696652
234	0.2757795145
235	0.2757220099
236	0.2755086721
237	0.2754611853
238	0.2752349212
239	0.2751642293
240	0.2750764574
241	0.2749859724
242	0.2749410589
243	0.2749407211
244	0.2748622948
245	0.2748569921
246	0.2748253328
247	0.2747927458
248	0.2747015743
249	0.2746182509
250	0.2745841252
251	0.2745274809
252	0.2743963431
253	0.2743306068
254	0.2742397133
255	0.2741633517
256	0.2741346115
257	0.2740940046
258	0.2739681256
259	0.2738314455
260	0.273629472
261	0.2735676374
262	0.2735404023
263	0.2734610332
264	0.2732237585
265	0.2729840043
266	0.272922754
267	0.2728585421
268	0.2726728691
269	0.2726329788
270	0.2725839776
271	0.2725350904
272	0.2723748978
273	0.2721507405
274	0.2720388253
275	0.271986241
276	0.271834207
277	0.2716937033
278	0.2716553374
279	0.2715279781
280	0.2714910525
281	0.271490667
282	0.2714426422
283	0.271369359
284	0.2713232393
285	0.2712491014
286	0.2711990125
287	0.2711428934
288	0.2711093441
289	0.2710476688
290	0.2710185102
291	0.270969854
292	0.2709382944
293	0.2708922334
294	0.2708844536
295	0.2708194344
296	0.2707173842
297	0.2706303928
298	0.2705612416
299	0.2704557106
300	0.2704310782
301	0.2700915525
302	0.2700094404
303	0.2699773621
304	0.2699338038
305	0.2698315814
306	0.2696127886
307	0.2695931113
308	0.2695205079
309	0.2694935618
310	0.2693552289
311	0.2693336167
312	0.2692219026
313	0.2692192239
314	0.2689730555
315	0.268868367
316	0.2688645868
317	0.2688055129
318	0.2687956212
319	0.2687698469
320	0.2687434725
321	0.2687022036
322	0.2686151082
323	0.2685349255
324	0.2684274032
325	0.2683845521
326	0.2683028322
327	0.268086491
328	0.2680386824
329	0.2679501211
330	0.2678969984
331	0.2678521327
332	0.2678315409
333	0.2677766052
334	0.267745268
335	0.2676488587
336	0.2675965802
337	0.26753149
338	0.2674827714
339	0.2673323345
340	0.2672825933
341	0.2672624469
342	0.2672220442
343	0.2671872655
344	0.2671041254
345	0.2670352541
346	0.2670094026
347	0.266902322
348	0.2668639803
349	0.2667879076
350	0.2666904579
351	0.2666745899
352	0.2666313282
353	0.2665573033
354	0.2664612299
355	0.2664469733
356	0.2664247604
357	0.2662892271
358	0.2661490233
359	0.2660440252
360	0.2658963274
361	0.2658397861
362	0.2657605756
363	0.2656476708
364	0.2656398683
365	0.2656062097
366	0.2655663532
367	0.2654951311
368	0.2654529584
369	0.2654218405
370	0.2653385151
371	0.2653203616
372	0.2652620543
373	0.2651365107
374	0.26507583
375	0.2650380604
376	0.264976447
377	0.2649561389
378	0.2648735591
379	0.264824947
380	0.2648035393
381	0.2647482812
382	0.2647260937
383	0.264636069
384	0.2645622974
385	0.2645128301
386	0.2644833065
387	0.2644758018
388	0.2643679076
389	0.2643214155
390	0.2642926045
391	0.2642396543
392	0.2639575374
393	0.2639486452
394	0.2638827832
395	0.2638534195
396	0.2637521432
397	0.2637086744
398	0.2636806439
399	0.2636634795
400	0.2636545737
401	0.263651027
402	0.2636353939
403	0.263571868
404	0.2635613463
405	0.2635151871
406	0.2634976182
407	0.2634770953
408	0.2634609065
409	0.2634211274
410	0.2633970922
411	0.2633234343
412	0.2632648829
413	0.2632618341
414	0.2632318819
415	0.2632176009
416	0.2631957646
417	0.2631173858
418	0.2630880426
419	0.2630501893
420	0.2629994332
421	0.262942509
422	0.2628911858
423	0.2628422513
424	0.2628101581
425	0.2627172617
426	0.2627144789
427	0.2626997662
428	0.2626723892
429	0.2626449873
430	0.2626063058
431	0.2625716018
432	0.262551024
433	0.262516342
434	0.2624777467
435	0.2624052848
436	0.2623993694
437	0.2623919169
438	0.2623517647
439	0.2622541841
440	0.2622239608
441	0.2621894212
442	0.2621181701
443	0.2620772047
444	0.2620572273
445	0.2620471893
446	0.2619930196
447	0.2619675779
448	0.2619537812
449	0.2619321122
450	0.2618247957
451	0.2617557698
452	0.261711944
453	0.2616549703
454	0.2615707464
455	0.2614794009
456	0.2613813171
457	0.2613501589
458	0.2613169987
459	0.2612800867
460	0.2612397558
461	0.2611572026
462	0.2611254815
463	0.2610700224
464	0.2610276004
465	0.2609569111
466	0.2609542955
467	0.2608997989
468	0.260891763
469	0.2608495938
470	0.2608256429
471	0.2607986375
472	0.260776357
473	0.2607197335
474	0.2606753968
475	0.2606604155
476	0.2606534604
477	0.2606161788
478	0.2605801425
479	0.2605614384
480	0.2605011161
481	0.2604725231
482	0.2604607221
483	0.2604123579
484	0.2603919039
485	0.2603421644
486	0.2603014412
487	0.2600619499
488	0.260021765
489	0.2600201744
490	0.2599962202
491	0.2599290268
492	0.2598770223
493	0.2598432325
494	0.2598173758
495	0.2597600008
496	0.2597304115
497	0.2597103526
498	0.2597088265
499	0.2597082824
500	0.2596641618
501	0.2596020369
502	0.2595399686
503	0.2594947729
504	0.2594690363
505	0.2594553188
506	0.2594502275
507	0.2594320768
508	0.2594060477
509	0.2593863199
510	0.2593148222
511	0.2592977826
512	0.2592731754
513	0.2592634605
514	0.2592553897
515	0.2592512773
516	0.259218192
517	0.2591480279
518	0.2591103692
519	0.2590331801
520	0.2589940686
521	0.2588470714
522	0.2588111491
523	0.2587765245
524	0.2587157162
525	0.2586951062
526	0.258662263
527	0.258634715
528	0.2585673627
529	0.2585418632
530	0.258525488
531	0.2584536515
532	0.2584029159
533	0.2583850576
534	0.2583789652
535	0.2583252704
536	0.2582693601
537	0.2582107462
538	0.2581449321
539	0.2581227674
540	0.2580883156
541	0.2580561807
542	0.2580411302
543	0.2579746403
544	0.2579075815
545	0.2578883942
546	0.257860721
547	0.2578455616
548	0.2578391098
549	0.2578232908
550	0.2577579563
551	0.257673908
552	0.2576299793
553	0.2575708542
554	0.2575074914
555	0.2574461321
556	0.2574119096
557	0.2573695562
558	0.2572994959
559	0.2572533176
560	0.2572170967
561	0.2571851383
562	0.2571708416
563	0.2571652213
564	0.2571378092
565	0.2570612145
566	0.2570403861
567	0.2569795014
568	0.2569214675
569	0.2569149679
570	0.2568983979
571	0.2568107397
572	0.2567901128
573	0.2567848053
574	0.2567773481
575	0.2567558361
576	0.2566668316
577	0.2566414327
578	0.2566348864
579	0.2565559733
580	0.2565469423
581	0.2565290265
582	0.2564620962
583	0.2564458402
584	0.2564275973
585	0.2564136775
586	0.2563785583
587	0.2563275788
588	0.2563070904
589	0.2562964213
590	0.2562599749
591	0.2561968762
592	0.2560618106
593	0.255993089
594	0.2559546829
595	0.2559117994
596	0.2558726554
597	0.2558152015
598	0.2557831446
599	0.2557334922
600	0.2556525242
601	0.2555743237
602	0.2555451703
603	0.25552621
604	0.2554298789
605	0.2553958129
606	0.2553375926
607	0.2553075661
608	0.2552329182
609	0.2552073444
610	0.2551916328
611	0.2551767049
612	0.2551653897
613	0.2551403675
614	0.2551049994
615	0.2550874542
616	0.2550716225
617	0.2550477686
618	0.255027412
619	0.255010313
620	0.2550039718
621	0.2549718927
622	0.2549563646
623	0.25493202
624	0.2549136992
625	0.2548693883
626	0.2547895464
627	0.2547628308
628	0.2547482532
629	0.2547279137
630	0.2546916942
631	0.2546665165
632	0.2546117762
633	0.254562147
634	0.2545141821
635	0.2544835889
636	0.2544278455
637	0.2544134214
638	0.254384352
639	0.2543458889
640	0.2542868696
641	0.2542205852
642	0.2541752151
643	0.2541172317
644	0.2540710905
645	0.2540428533
646	0.2540224902
647	0.2540077182
648	0.2539804888
649	0.2539461961
650	0.2539034051
651	0.253889019
652	0.2538579412
653	0.2537748597
654	0.2537196167
655	0.2536292279
656	0.253611845
657	0.2535841246
658	0.2535397793
659	0.2534999005
660	0.2534657047
661	0.2534196248
662	0.2533844645
663	0.2533800607
664	0.2533558387
665	0.2533438064
666	0.2533326143
667	0.2532981971
668	0.2532696472
669	0.2532453145
670	0.2532205272
671	0.2531879461
672	0.2531491664
673	0.2531327561
674	0.2530864721
675	0.2530495929
676	0.2529964759
677	0.2529717521
678	0.2529199864
679	0.2528912815
680	0.2528835382
681	0.2528578146
682	0.2527998088
683	0.2527585963
684	0.2527430538
685	0.2526825265
686	0.2526718197
687	0.2525920504
688	0.2525590284
689	0.2525278006
690	0.2524953395
691	0.2524548228
692	0.2524450459
693	0.252393454
694	0.2523384009
695	0.2522841155
696	0.2522514017
697	0.2521872005
698	0.2521633981
699	0.252107478
700	0.2520648054
701	0.2520596252
702	0.2520416967
703	0.2520071512
704	0.2519813422
705	0.2519489322
706	0.2518979533
707	0.2518567926
708	0.251805179
709	0.2517501172
710	0.2517307114
711	0.2516623077
712	0.2515318278
713	0.2514998974
714	0.2514479085
715	0.2513826915
716	0.2513593253
717	0.2513289582
718	0.2512888777
719	0.2512354395
720	0.2512341416
721	0.2511958794
722	0.2511665828
723	0.2511412524
724	0.251134083
725	0.2511174322
726	0.2510428417
727	0.2510077049
728	0.2509812303
729	0.2509418191
730	0.250903032
731	0.2508815516
732	0.250833146
733	0.2507824177
734	0.2507680268
735	0.2507535369
736	0.250717554
737	0.2507065944
738	0.250668512
739	0.2506200518
740	0.2505829394
741	0.2505102083
742	0.2505013149
743	0.2504493261
744	0.2504248165
745	0.250379575
746	0.2502954367
747	0.2502725636
748	0.2501931739
749	0.2501807106
750	0.2501682347
751	0.2501452139
752	0.2501073974
753	0.2500977406
754	0.2500726961
755	0.2500065009
756	0.2499504293
757	0.2499050311
758	0.2498704425
759	0.2498612876
760	0.2497990397
761	0.2497908473
762	0.2497390969
763	0.2496943808
764	0.2496764719
765	0.2496204972
766	0.2495635146
767	0.2495007211
768	0.2494736889
769	0.2494484044
770	0.2494141934
771	0.249368053
772	0.2493268319
773	0.2492626999
774	0.2492485312
775	0.2491855893
776	0.2491367178
777	0.2491071081
778	0.2490884586
779	0.2490843812
780	0.2490476258
781	0.2490256389
782	0.2489913459
783	0.248950518
784	0.2489054487
785	0.2488854511
786	0.2488772965
787	0.2488393359
788	0.2488125168
789	0.2487350528
790	0.2487259041
791	0.248718534
792	0.2486917609
793	0.2486538252
794	0.2486319111
795	0.2486017914
796	0.2485546705
797	0.2485267638
798	0.2485091741
799	0.2484510459
800	0.2484051652
801	0.2483789157
802	0.248355791
803	0.2483406613
804	0.2483165648
805	0.2483154407
806	0.2482759367
807	0.2482416159
808	0.2482389657
809	0.2481841831
810	0.2481512889
811	0.2481186083
812	0.2480972686
813	0.2480749328
814	0.2480095005
815	0.2479997721
816	0.2479500096
817	0.2478770141
818	0.2478092023
819	0.2477626735
