iter	Passed	Remaining
0	388	388111
1	502	250635
2	624	207478
3	744	185260
4	836	166437
5	915	151603
6	1011	143437
7	1099	136370
8	1175	129474
9	1252	123964
10	1330	119596
11	1409	116040
12	1509	114623
13	1608	113313
14	1694	111273
15	1766	108634
16	1848	106886
17	1927	105170
18	2012	103932
19	2084	102163
20	2168	101085
21	2239	99537
22	2315	98358
23	2391	97267
24	2473	96476
25	2558	95837
26	2636	94996
27	2710	94098
28	2783	93183
29	2861	92513
30	2938	91837
31	3007	90991
32	3079	90234
33	3149	89490
34	3214	88640
35	3284	87952
36	3359	87438
37	3427	86765
38	3515	86631
39	3597	86339
40	3672	85900
41	3743	85378
42	3815	84915
43	3887	84474
44	3964	84135
45	4037	83743
46	4114	83436
47	4192	83141
48	4263	82753
49	4336	82396
50	4415	82154
51	4485	81770
52	4568	81628
53	4643	81350
54	4717	81047
55	4788	80727
56	4862	80446
57	4941	80250
58	5013	79954
59	5088	79723
60	5153	79333
61	5226	79074
62	5293	78723
63	5369	78522
64	5444	78321
65	5520	78125
66	5596	77929
67	5674	77777
68	5748	77561
69	5820	77336
70	5899	77190
71	5970	76958
72	6038	76686
73	6111	76475
74	6186	76299
75	6258	76087
76	6329	75870
77	6403	75687
78	6470	75439
79	6547	75298
80	6616	75069
81	6698	74989
82	6768	74784
83	6842	74611
84	6917	74464
85	6990	74298
86	7057	74066
87	7131	73904
88	7198	73688
89	7270	73517
90	7343	73353
91	7416	73196
92	7488	73032
93	7561	72882
94	7634	72726
95	7714	72644
96	7784	72464
97	7856	72313
98	7929	72168
99	8003	72028
100	8074	71868
101	8143	71693
102	8215	71548
103	8291	71433
104	8367	71318
105	8444	71216
106	8517	71085
107	8591	70956
108	8661	70800
109	8745	70755
110	8812	70580
111	8887	70466
112	8970	70414
113	9044	70295
114	9112	70128
115	9186	70004
116	9258	69872
117	9328	69728
118	9401	69599
119	9489	69591
120	9624	69916
121	9736	70071
122	9841	70168
123	9922	70095
124	10002	70018
125	10108	70120
126	10220	70255
127	10318	70297
128	10409	70281
129	10580	70809
130	10683	70871
131	10769	70818
132	10856	70770
133	10929	70634
134	11004	70508
135	11087	70440
136	11163	70322
137	11245	70243
138	11354	70329
139	11459	70396
140	11542	70321
141	11622	70227
142	11703	70139
143	11808	70195
144	11925	70317
145	12018	70298
146	12141	70453
147	12379	71264
148	12502	71406
149	12586	71322
150	12668	71226
151	12750	71135
152	12841	71090
153	12940	71088
154	13012	70937
155	13094	70846
156	13180	70770
157	13258	70655
158	13335	70533
159	13421	70463
160	13480	70251
161	13593	70316
162	13752	70617
163	13847	70588
164	13927	70483
165	14014	70412
166	14098	70321
167	14199	70321
168	14383	70727
169	14608	71323
170	14750	71510
171	14834	71411
172	14920	71327
173	15030	71351
174	15126	71312
175	15201	71168
176	15299	71137
177	15396	71099
178	15481	71009
179	15564	70904
180	15649	70812
181	15748	70781
182	15832	70682
183	15926	70632
184	15998	70481
185	16091	70423
186	16204	70449
187	16324	70507
188	16411	70420
189	16490	70300
190	16576	70209
191	16653	70083
192	16743	70012
193	16825	69903
194	16912	69819
195	16982	69661
196	17052	69506
197	17132	69395
198	17206	69256
199	17273	69093
200	17349	68968
201	17429	68855
202	17501	68711
203	17581	68601
204	17659	68485
205	17737	68367
206	17810	68229
207	17932	68280
208	18045	68297
209	18173	68368
210	18296	68417
211	18413	68443
212	18502	68363
213	18571	68211
214	18656	68118
215	18783	68177
216	18889	68157
217	18997	68146
218	19076	68029
219	19212	68117
220	19335	68156
221	19467	68222
222	19593	68268
223	19686	68200
224	19778	68127
225	19841	67951
226	19917	67825
227	19990	67685
228	20077	67596
229	20153	67470
230	20183	67189
231	20264	67082
232	20343	66969
233	20431	66881
234	20512	66775
235	20582	66630
236	20657	66504
237	20728	66366
238	20812	66268
239	20893	66162
240	20970	66043
241	21046	65921
242	21116	65783
243	21163	65572
244	21246	65472
245	21306	65305
246	21376	65168
247	21480	65134
248	21562	65033
249	21633	64900
250	21702	64761
251	21770	64620
252	21840	64486
253	21919	64377
254	21999	64271
255	22074	64153
256	22143	64017
257	22214	63889
258	22302	63807
259	22388	63720
260	22462	63601
261	22548	63514
262	22619	63385
263	22692	63263
264	22767	63146
265	22842	63030
266	22916	62912
267	22991	62797
268	23069	62690
269	23142	62571
270	23214	62448
271	23286	62324
272	23370	62234
273	23449	62132
274	23524	62018
275	23603	61917
276	23706	61876
277	23806	61828
278	23884	61723
279	23983	61672
280	24058	61559
281	24133	61445
282	24196	61303
283	24279	61210
284	24358	61110
285	24441	61018
286	24520	60917
287	24597	60810
288	24663	60676
289	24747	60587
290	24827	60490
291	24905	60388
292	24970	60252
293	25046	60145
294	25114	60018
295	25183	59896
296	25267	59809
297	25351	59720
298	25439	59642
299	25508	59518
300	25588	59422
301	25660	59307
302	25729	59186
303	25808	59088
304	25883	58979
305	25959	58874
306	26029	58757
307	26098	58636
308	26169	58521
309	26234	58392
310	26312	58292
311	26389	58192
312	26482	58125
313	26586	58084
314	26688	58035
315	26797	58004
316	26870	57895
317	26966	57833
318	27027	57697
319	27104	57596
320	27209	57554
321	27282	57444
322	27355	57336
323	27433	57238
324	27541	57202
325	27650	57166
326	27763	57140
327	27852	57063
328	27930	56964
329	28022	56894
330	28109	56813
331	28180	56699
332	28282	56649
333	28360	56551
334	28436	56448
335	28531	56384
336	28620	56307
337	28696	56205
338	28780	56117
339	28857	56018
340	28930	55910
341	29010	55815
342	29087	55716
343	29161	55609
344	29243	55520
345	29314	55409
346	29430	55384
347	29750	55738
348	30404	56714
349	30714	57041
350	30820	56987
351	30908	56899
352	30999	56818
353	31097	56749
354	31201	56689
355	31289	56603
356	31365	56493
357	31460	56418
358	31586	56398
359	31708	56370
360	31806	56300
361	31903	56227
362	31996	56147
363	32104	56093
364	32203	56024
365	32302	55955
366	32394	55874
367	32495	55808
368	32585	55721
369	32674	55635
370	32774	55565
371	32861	55476
372	32951	55389
373	33059	55334
374	33149	55249
375	33242	55168
376	33336	55088
377	33423	54997
378	33498	54887
379	33585	54798
380	33679	54717
381	33766	54627
382	33854	54537
383	33938	54443
384	34031	54361
385	34109	54257
386	34205	54180
387	34283	54076
388	34379	53999
389	34476	53924
390	34563	53833
391	34648	53740
392	34732	53645
393	34805	53533
394	34913	53474
395	34987	53364
396	35071	53269
397	35162	53185
398	35245	53088
399	35335	53003
400	35416	52903
401	35497	52804
402	35556	52672
403	35648	52589
404	35718	52475
405	35794	52368
406	35897	52302
407	35978	52204
408	36052	52095
409	36148	52017
410	36239	51935
411	36330	51850
412	36428	51776
413	36506	51673
414	36608	51604
415	36688	51505
416	36776	51416
417	36880	51350
418	36980	51277
419	37060	51179
420	37158	51103
421	37257	51030
422	37361	50964
423	37464	50894
424	37555	50809
425	37654	50736
426	37736	50638
427	37837	50567
428	37939	50497
429	38050	50438
430	38139	50351
431	38238	50275
432	38347	50214
433	38456	50152
434	38549	50070
435	38653	50001
436	38739	49908
437	38805	49792
438	38889	49697
439	38989	49623
440	39093	49553
